# TABLE: IncidentType
# Description: Maps each Incident (child) to its parent LossType category
# Columns: IncidentCode, Incident, LossTypeCode, LossType
# Usage: Join GovtLossData.csv on Incident field

TableName,IncidentCode,Incident,LossTypeCode,LossType
IncidentType,INC-001,Accidental Loss Destruction or Damage,LT-001,Property Loss
IncidentType,INC-002,"Offence, illegal act or accident",LT-002,"Offence, illegal act or accident"
IncidentType,INC-003,Offence or Other Illegal Act,LT-001,Property Loss
IncidentType,INC-004,Loss of revenues due to Customs Act infractions,LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-005,Loss of revenues dues to Customs Act infractions Non report/Smuggling,LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-006,Fraudulent use of customer's weather account,LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-007,Loss of revenues due to erroneous credit card number,LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-008,Cases before the Courts (Canada Revenue Agency's estimate of the amount of tax evaded or refunds fraudulently obtained),LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-009,Court convictions (amount of tax evaded or refunds fraudulently obtained as determined by the Court),LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-010,Cases before the Courts (CRA's estimate of the amount of tax evaded or refunds fraudulently obtained),LT-003,Revenue loss (fraud or willful misrepresentation)
IncidentType,INC-011,Loss of revenues due to the GCSurplus program,LT-003,Revenue loss (fraud or willful misrepresentation)

# TABLE: Department
# Description: Maps each department number to its name and parent portfolio
# Columns: DeptNbr, Department, PortfolioCode, Portfolio
# Usage: Join GovtLossData.csv on Dept-nbr_No-min field

TableName,DeptNbr,Department,PortfolioCode,Portfolio
Department,138,Military Grievances External Review Committee,16,National Defence
Department,139,Financial Transactions and Reports Analysis Centre of Canada,7,Finance
Department,141,Financial Consumer Agency of Canada,7,Finance
Department,142,Office of Infrastructure of Canada,29,"Housing, Infrastructure and Communities"
Department,144,Courts Administration Service,15,Justice
Department,145,Library and Archives of Canada,4,Heritage
Department,146,Public Service Human Resources Management Agency of Canada,23,Treasury Board
Department,148,Public Health Agency of Canada,11,Health
Department,152,Assisted Human Reproduction Agency of Canada,11,Health
Department,154,Office of the Commissioner of Lobbying,23,Treasury Board
Department,163,Shared Services Canada,20,Public Services and Procurement
Department,165,Communications Security Establishment,16,National Defence
Department,170,Administrative Tribunals Support Service of Canada,15,Justice
Department,171,Canadian High Arctic Research Station,13,Indigenous
Department,176,Parliamentary Protective Service,18,Parliament
Department,180,Invest in Canada Hub,9,Global Affairs
Department,183,Office of the Parliamentary Budget Officer,18,Parliament
Department,190,Department for Women and Gender Equality,32,"Women, Gender Equality and Youth"
Department,191,Department of Indigenous Services,31,Indigenous Services
Department,195,Canadian Energy Regulator,17,Energy and Natural Resources
Department,200,Federal Economic Development Agency for Northern Ontario,14,Industry & Economic Development
Department,240,Pacific Economic Development Agency of Canada,14,Industry & Economic Development
Department,242,"Department of Housing, Infrastructure and Communities",29,"Housing, Infrastructure and Communities"
Department,007a,Impact Assessment Agency of Canada,6,Environment and Climate Change
Department,021a,Veterans Review and Appeal Board,24,Veterans Affairs
Department,042a,Department of Crown-Indigenous Relations and Northern Affairs,13,Indigenous
Department,088a,Office of the Correctional Investigator of Canada,21,Public Safety - Democratic Institutions and Intergovernmental Affairs
Department,088c,Civilian Review and Complaints Commission for the Royal Canadian Mounted Police,21,Public Safety - Democratic Institutions and Intergovernmental Affairs
